timestamp,lat,lon,alt,velocity,heading,position_covariance[6],fix_type
2024-05-01T12:00:00+00:00,37.6509666,-122.0595249,5.3,31.3,15.6,"[0.000624,0.000891,0.000771,0.000222,0.000193,0.000464]",5
2024-05-01T12:00:00.500000+00:00,37.6520292,-122.0591198,5.2,29.7,14.2,"[0.000591,0.000663,0.000737,0.000697,0.000222,0.000162]",5
2024-05-01T12:00:01+00:00,37.6529806,-122.058639,5.6,27.0,15.1,"[0.000178,0.000253,0.000974,0.000865,0.000557,0.000463]",5
2024-05-01T12:00:01.500000+00:00,37.6539509,-122.0581828,4.3,32.3,16.3,"[0.000579,0.000945,0.000196,0.000901,0.000219,0.000615]",5
2024-05-01T12:00:02+00:00,37.6549569,-122.0577008,5.6,25.1,14.5,"[0.000506,0.000142,0.000172,0.000828,0.000623,0.000968]",5
2024-05-01T12:00:02.500000+00:00,37.6560944,-122.0571052,4.8,27.7,14.2,"[0.000876,0.000133,0.000505,0.000846,0.000534,9.6e-05]",5
2024-05-01T12:00:03+00:00,37.6570245,-122.0565189,4.8,28.8,15.3,"[7.3e-05,0.000416,0.000185,0.000261,0.000804,0.000732]",5
2024-05-01T12:00:03.500000+00:00,37.6580445,-122.0560195,4.9,30.4,15.2,"[0.000694,0.000753,0.000646,0.000889,0.00081,0.000576]",5
2024-05-01T12:00:04+00:00,37.6590321,-122.055469,5.2,25.3,15.8,"[0.000655,0.000883,0.000207,0.000272,0.000298,0.000357]",5
2024-05-01T12:00:04.500000+00:00,37.6600184,-122.0549606,4.8,34.0,14.4,"[0.000924,6.9e-05,0.000774,0.000351,0.000448,0.000589]",5
2024-05-01T12:00:05+00:00,37.6610248,-122.0544293,5.0,30.2,17.3,"[0.000647,0.000264,0.000299,0.000584,0.000422,0.000723]",5
2024-05-01T12:00:05.500000+00:00,37.6619902,-122.0539756,4.9,25.7,16.2,"[0.000867,0.000449,0.000549,0.000669,0.000402,0.000987]",5
2024-05-01T12:00:06+00:00,37.6630372,-122.0535333,5.8,25.1,17.6,"[0.00077,0.000242,0.000753,0.000159,0.000474,0.000315]",5
2024-05-01T12:00:06.500000+00:00,37.6640089,-122.053094,4.4,29.6,15.7,"[0.00064,0.000202,0.000932,0.000668,0.000585,0.000559]",5
2024-05-01T12:00:07+00:00,37.6650077,-122.0526587,5.1,27.2,16.8,"[0.000269,0.000956,0.000369,0.000696,0.000748,0.000416]",5
2024-05-01T12:00:07.500000+00:00,37.6659575,-122.0521548,4.7,29.0,14.9,"[0.000917,0.000478,0.000113,0.000999,0.001,0.000371]",5
2024-05-01T12:00:08+00:00,37.6669494,-122.0517417,5.3,26.8,14.2,"[0.000194,0.000386,0.000429,0.000935,0.000566,0.000481]",5
2024-05-01T12:00:08.500000+00:00,37.6679877,-122.0512404,5.3,31.1,13.2,"[0.000245,5.1e-05,0.000417,0.00024,0.000364,0.000762]",5
2024-05-01T12:00:09+00:00,37.6688771,-122.0507638,5.0,33.3,15.4,"[0.000309,0.000896,0.000317,0.000317,0.00053,0.000467]",5
2024-05-01T12:00:09.500000+00:00,37.6699634,-122.0503696,4.7,29.2,13.9,"[0.000875,0.00056,0.00025,0.000748,0.000904,0.000956]",5
2024-05-01T12:00:10+00:00,37.6708764,-122.0498727,5.7,26.7,16.0,"[0.000705,0.000678,0.000267,0.000612,0.000461,0.000304]",5
2024-05-01T12:00:10.500000+00:00,37.6718322,-122.0493334,5.4,34.2,15.0,"[0.000827,0.000446,0.000588,0.000694,0.000547,0.000417]",5
2024-05-01T12:00:11+00:00,37.6728568,-122.0488545,5.5,29.2,13.8,"[0.000942,0.000635,0.000549,0.000173,0.000781,0.000417]",5
2024-05-01T12:00:11.500000+00:00,37.6739995,-122.0483101,5.5,29.2,15.7,"[0.000621,0.000405,0.000144,0.000915,0.00062,0.000583]",5
2024-05-01T12:00:12+00:00,37.6750092,-122.0477537,5.2,31.8,15.6,"[0.000409,0.000225,0.000606,0.000331,0.000514,0.000442]",5
2024-05-01T12:00:12.500000+00:00,37.6760693,-122.0472927,4.3,26.3,16.3,"[0.000963,0.000736,0.000371,0.000969,0.000204,0.000577]",5
2024-05-01T12:00:13+00:00,37.6770967,-122.0468031,4.8,34.1,15.6,"[0.000742,0.000916,0.000913,0.000796,0.000492,0.000805]",5
2024-05-01T12:00:13.500000+00:00,37.6781424,-122.0463112,4.5,29.2,13.6,"[0.00038,0.000855,0.000741,0.000651,0.000287,0.000233]",5
2024-05-01T12:00:14+00:00,37.6791493,-122.0458233,5.1,29.6,15.9,"[0.000151,0.00068,0.000734,0.000983,0.000791,0.000642]",5
2024-05-01T12:00:14.500000+00:00,37.6801322,-122.0452903,4.8,25.7,15.1,"[0.000204,0.000781,0.00069,0.000775,0.000698,0.000272]",5
